"year","carrier_name","arrivals","delayed","cancelled","diverted","on_time"
2005,"American Eagle Airlines Inc.",532032,108852,16746,951,0.795403284012992
2005,"Southwest Airlines Co.",1036034,189099,8759,1638,0.817477997826326
2006,"American Airlines Inc.",643597,145563,10127,1701,0.773828964398529
2006,"American Eagle Airlines Inc.",550088,135620,19990,1297,0.753457628597606
2006,"Southwest Airlines Co.",1099321,206597,8951,1753,0.812068540489993
2007,"American Airlines Inc.",633857,178129,17924,2097,0.718976046647746
2007,"American Eagle Airlines Inc.",540494,142567,22792,1497,0.73622833926001
2007,"Southwest Airlines Co.",1168871,220441,9993,1920,0.811406904611373
2008,"Southwest Airlines Co.",1201754,219757,12389,2454,0.817136452219007
2009,"American Airlines Inc.",551597,114591,9248,1861,0.792255940478284
2009,"American Eagle Airlines Inc.",437009,87366,11119,1081,0.800081920509646
2009,"Southwest Airlines Co.",1132278,181988,8594,1936,0.839272687449549
2010,"American Airlines Inc.",540963,99108,9146,1957,0.816793385129852
2010,"American Eagle Airlines Inc.",436976,87136,12075,1073,0.800593167588151
2010,"Southwest Airlines Co.",1124487,217213,11597,2166,0.806833693942215
2011,"American Airlines Inc.",538179,103978,13527,2024,0.806796623428265
2011,"American Eagle Airlines Inc.",448178,87174,17658,1163,0.805492460584857
2011,"Southwest Airlines Co.",1155717,201394,12147,2272,0.825741076751488
2012,"American Airlines Inc.",525220,109752,9569,1777,0.791036137237729
2012,"American Eagle Airlines Inc.",473140,75466,10373,1192,0.840499640698313
2012,"Southwest Airlines Co.",1140535,180969,9580,1880,0.84132972683872
2013,"Southwest Airlines Co.",1130704,252944,8440,2101,0.776295122330866
2014,"American Eagle Airlines Inc.",99989,25045,8358,264,0.749522447469222
2014,"Southwest Airlines Co.",1174633,299133,15165,2731,0.745339182536162
